date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:09:07	66006/66006	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Jan%202022%2017:03:33%20GMT	https://dsathemes.com/html/la_notte_1.1/files/demo-4.html	/Volumes/DATAHD/Thang/project/thaotokyo/template/dsathemes.com/html/la_notte_1.1/files/demo-4.html	(from )
01:09:08	4748/4748	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Jun%202022%2018:09:08%20GMT	https://dsathemes.com/robots.txt		(from )
01:09:08	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Tue,%2004%20Jan%202022%2017:04:56%20GMT	https://dsathemes.com/html/la_notte_1.1/files/images/favicon.ico	/Volumes/DATAHD/Thang/project/thaotokyo/template/dsathemes.com/html/la_notte_1.1/files/images/favicon.ico	(from https://dsathemes.com/html/la_notte_1.1/files/demo-4.html)
01:09:09	2874/2874	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jan%202022%2017:05:26%20GMT	https://dsathemes.com/html/la_notte_1.1/files/images/apple-touch-icon-152x152.png	/Volumes/DATAHD/Thang/project/thaotokyo/template/dsathemes.com/html/la_notte_1.1/files/images/apple-touch-icon-152x152.png	(from https://dsathemes.com/html/la_notte_1.1/files/demo-4.html)
01:09:10	4008/4008	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jan%202022%2017:04:57%20GMT	https://dsathemes.com/html/la_notte_1.1/files/images/apple-touch-icon-120x120.png	/Volumes/DATAHD/Thang/project/thaotokyo/template/dsathemes.com/html/la_notte_1.1/files/images/apple-touch-icon-120x120.png	(from https://dsathemes.com/html/la_notte_1.1/files/demo-4.html)
01:09:11	3100/3100	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jan%202022%2017:06:01%20GMT	https://dsathemes.com/html/la_notte_1.1/files/images/apple-touch-icon-76x76.png	/Volumes/DATAHD/Thang/project/thaotokyo/template/dsathemes.com/html/la_notte_1.1/files/images/apple-touch-icon-76x76.png	(from https://dsathemes.com/html/la_notte_1.1/files/demo-4.html)
01:09:12	2986/2986	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jan%202022%2017:05:04%20GMT	https://dsathemes.com/html/la_notte_1.1/files/images/apple-touch-icon.png	/Volumes/DATAHD/Thang/project/thaotokyo/template/dsathemes.com/html/la_notte_1.1/files/images/apple-touch-icon.png	(from https://dsathemes.com/html/la_notte_1.1/files/demo-4.html)
01:09:13	163873/163873	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jan%202022%2017:04:33%20GMT	https://dsathemes.com/html/la_notte_1.1/files/css/bootstrap.min.css	/Volumes/DATAHD/Thang/project/thaotokyo/template/dsathemes.com/html/la_notte_1.1/files/css/bootstrap.min.css	(from https://dsathemes.com/html/la_notte_1.1/files/demo-4.html)
01:09:14	9317/9317	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jan%202022%2017:04:43%20GMT	https://dsathemes.com/html/la_notte_1.1/files/css/flaticon.css	/Volumes/DATAHD/Thang/project/thaotokyo/template/dsathemes.com/html/la_notte_1.1/files/css/flaticon.css	(from https://dsathemes.com/html/la_notte_1.1/files/demo-4.html)
01:09:15	31826/31826	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jan%202022%2017:04:44%20GMT	https://dsathemes.com/html/la_notte_1.1/files/css/menu.css	/Volumes/DATAHD/Thang/project/thaotokyo/template/dsathemes.com/html/la_notte_1.1/files/css/menu.css	(from https://dsathemes.com/html/la_notte_1.1/files/demo-4.html)
